url;name;price;image;available;category;producer
http://www.5lb.ru/catalog/fat_burn/thermonex.html;Thermonex;1410.0;http://www.5lb.ru/pict/116/1323476562_bsn-thermonex.jpg;1;Сжигатели жира;BSN
http://www.5lb.ru/catalog/protein/probolic-sr__4_van.html;Probolic-SR;2580.0;http://www.5lb.ru/pict/572/Probolic-SR-mhp-500x500.jpg;1;Протеины;MHP
http://www.5lb.ru/catalog/protein/elite_whey_protein_van_2.html;Elite Whey Protein;1250.0;http://www.5lb.ru/pict/534/DYZ-22231-1_002.jpg;1;Протеины;Dymatize
http://www.5lb.ru/catalog/tribulus/tribudex_250.html;Tribudex 250;2880.0;http://www.5lb.ru/pict/7779/big_3714.jpg;1;Трибулус;All Stars
http://www.5lb.ru/catalog/book/iw_2014_4.html;Железный Мир 2014 №4;140.0;http://www.5lb.ru/pict/10527/55.jpg;1;Журналы;IW
http://www.5lb.ru/catalog/gainer/macro_pro_2270g_van.html;Macro Pro;1890.0;http://www.5lb.ru/pict/2766/syntrax-macro-pro-vn-500x500.jpg.jpg;1;Гейнеры;Syntrax
http://www.5lb.ru/catalog/creatine_monohydrate/creatine-total-5000-600-g.html;Creatine Total 5000;1180.0;http://www.5lb.ru/pict/11661/creatintotal.jpg;1;Креатин моногидрат;Pro Winner
http://www.5lb.ru/catalog/protein/muscle_95.html;Muscle 95 X-Treme;970.0;http://www.5lb.ru/pict/3505/muscle_95.jpg;0;Протеины;Inkospor
http://www.5lb.ru/catalog/protein/protein_isolate_un.html;Protein Isolate;1100.0;http://www.5lb.ru/pict/1697/protein_isolate.jpg;0;Протеины;Ultimate Nutrition
http://www.5lb.ru/catalog/kosmetika/krem-ot-gipergidroza.html;"Крем для ног от гипергидроза ""42""";190.0;http://www.5lb.ru/pict/4634/kremdlianog.jpg;1;Косметика;EurofarmSport
http://www.5lb.ru/catalog/amino_complex/liquid_amino_un.html;Liquid Amino;980.0;http://www.5lb.ru/pict/685/AminoLiq946ml_5lb.jpg;0;Аминокислотные комплексы;Ultimate Nutrition
http://www.5lb.ru/catalog/amino_complex/amino_fuel_948_tw.html;Amino Fuel;1050.0;http://www.5lb.ru/pict/930/TWL-01604-1.jpg;1;Аминокислотные комплексы;Twinlab
http://www.5lb.ru/catalog/creatine_monohydrate/pure_creatine_capsules_200.html;Pure Creatine Сapsules;1400.0;http://www.5lb.ru/pict/2204/31761.png;1;Креатин моногидрат;Weider
http://www.5lb.ru/catalog/protein/nsp_nitrostack.html;NSP Nitrostack Protein;1790.0;http://www.5lb.ru/pict/3238/nsp.jpg;0;Протеины;Weider
http://www.5lb.ru/catalog/gainer/mass_20scitec.html;Mass 20;1140.0;http://www.5lb.ru/pict/8337/0_27857900_1319191554_img.jpg;1;Гейнеры;Scitec Nutrition
http://www.5lb.ru/catalog/bar/pro-plex_bar_all_stars.html;Pro-Plex Bar;2240.0;http://www.5lb.ru/pict/2249/ProPlex_Bar_Neu_3.jpg;0;Батончики;All Stars
http://www.5lb.ru/catalog/protein/5145.html;Gold Whey;780.0;http://www.5lb.ru/pict/2339/WeiderGoldWhey500.jpg;1;Протеины;Weider
http://www.5lb.ru/catalog/vitamin_mineral/mega_daily_one_plus120c.html;Mega Daily One Plus;840.0;http://www.5lb.ru/pict/7453/4bbc82447ee31679c228589b997e9840.jpg;1;Витаминно-минеральные комплексы;Scitec Nutrition
http://www.5lb.ru/catalog/zma/zma_on.html;ZMA;800.0;http://www.5lb.ru/pict/1225/Optimum-Nutrition-ZMA-748927024821.jpg;1;ZMA;Optimum Nutrition
http://www.5lb.ru/catalog/bar/real_pro_low_carb.html;Real Pro Low Carb;2880.0;http://www.5lb.ru/pict/7281/4535345.jpg;0;Батончики;All Stars
